,Notes,Year,Year Code,State,State Code,Gender,Gender Code,Race,Race Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error
0,,1999,1999,Alabama,1,Female,F,Black or African American,2054-5,16,623475,Unreliable,1.5,4.2,0.6,Unreliable,1.5,4.3,0.7
1,,1999,1999,Alabama,1,Female,F,White,2106-3,76,1640665,4.6,3.6,5.8,0.5,4.4,3.4,5.5,0.5
2,,1999,1999,Alabama,1,Male,M,Black or African American,2054-5,24,539198,4.5,2.9,6.6,0.9,4.8,3.1,7.2,1.0
3,,1999,1999,Alabama,1,Male,M,White,2106-3,80,1570643,5.1,4.0,6.3,0.6,5.0,4.0,6.2,0.6
4,,1999,1999,Alaska,2,Female,F,White,2106-3,18,220036,Unreliable,4.8,12.9,1.9,Unreliable,4.6,13.5,2.1
5,,1999,1999,Alaska,2,Male,M,White,2106-3,22,242016,9.1,5.7,13.8,1.9,7.9,4.9,11.9,1.7
6,,1999,1999,Arizona,4,Female,F,American Indian or Alaska Native,1002-5,13,140372,Unreliable,4.9,15.8,2.6,Unreliable,5.2,17.5,2.9
7,,1999,1999,Arizona,4,Female,F,White,2106-3,136,2235195,6.1,5.1,7.1,0.5,6.1,5.1,7.2,0.5
8,,1999,1999,Arizona,4,Male,M,American Indian or Alaska Native,1002-5,11,134914,Unreliable,4.1,14.6,2.5,Unreliable,4.3,16.6,2.8
9,,1999,1999,Arizona,4,Male,M,Black or African American,2054-5,19,92706,Unreliable,12.3,32.0,4.7,Unreliable,11.9,32.7,4.9
10,,1999,1999,Arizona,4,Male,M,White,2106-3,375,2225387,16.9,15.1,18.6,0.9,17.4,15.6,19.2,0.9
11,,1999,1999,Arkansas,5,Female,F,White,2106-3,53,1114373,4.8,3.6,6.2,0.7,4.8,3.6,6.3,0.7
12,,1999,1999,Arkansas,5,Male,M,Black or African American,2054-5,12,199799,Unreliable,3.1,10.5,1.7,Unreliable,3.4,12.1,2.0
13,,1999,1999,Arkansas,5,Male,M,White,2106-3,59,1073571,5.5,4.2,7.1,0.7,5.7,4.3,7.3,0.7
14,,1999,1999,California,6,Female,F,American Indian or Alaska Native,1002-5,11,225050,Unreliable,2.4,8.7,1.5,Unreliable,2.5,9.0,1.5
15,,1999,1999,California,6,Female,F,Asian or Pacific Islander,A-PI,24,2097682,1.1,0.7,1.7,0.2,1.2,0.8,1.9,0.3
16,,1999,1999,California,6,Female,F,Black or African American,2054-5,134,1274187,10.5,8.7,12.3,0.9,11.3,9.3,13.2,1.0
17,,1999,1999,California,6,Female,F,White,2106-3,831,13203242,6.3,5.9,6.7,0.2,6.4,6.0,6.9,0.2
18,,1999,1999,California,6,Male,M,American Indian or Alaska Native,1002-5,15,227979,Unreliable,3.7,10.9,1.7,Unreliable,3.7,11.4,1.8
19,,1999,1999,California,6,Male,M,Asian or Pacific Islander,A-PI,38,1953590,1.9,1.4,2.7,0.3,2.0,1.4,2.7,0.3
20,,1999,1999,California,6,Male,M,Black or African American,2054-5,237,1228282,19.3,16.8,21.8,1.3,22.0,19.2,24.9,1.5
21,,1999,1999,California,6,Male,M,White,2106-3,1882,13289192,14.2,13.5,14.8,0.3,14.3,13.7,15.0,0.3
22,,1999,1999,Colorado,8,Female,F,White,2106-3,131,1930473,6.8,5.6,7.9,0.6,6.5,5.4,7.7,0.6
23,,1999,1999,Colorado,8,Male,M,Black or African American,2054-5,19,94708,Unreliable,12.1,31.3,4.6,Unreliable,13.2,35.3,5.3
24,,1999,1999,Colorado,8,Male,M,White,2106-3,220,1952428,11.3,9.8,12.8,0.8,10.9,9.4,12.3,0.7
25,,1999,1999,Connecticut,9,Female,F,Black or African American,2054-5,19,179119,Unreliable,6.4,16.6,2.4,Unreliable,6.6,17.1,2.5
26,,1999,1999,Connecticut,9,Female,F,White,2106-3,81,1517316,5.3,4.2,6.6,0.6,4.9,3.9,6.1,0.6
27,,1999,1999,Connecticut,9,Male,M,Black or African American,2054-5,33,162682,20.3,14.0,28.5,3.5,20.9,14.3,29.5,3.7
